,Number of Stars,Full Review,title
26,5,"Ordered on May 1st, received it on May 2nd. Very fast delivery from Flipkart.
About the watch
- Display 5/5 ( Best Display ever seen in a watch), have used Apple and Samsung smart watches before, but OPPO really has won among the two tech giants in case of display quality.
- Performance 5/5 ( Best WEAR OS watch Up-to-date)
- Battery 4/5 ( Compared to Apple and Samsung)
- Build Quality 5/5
- Value for money 5/5

Very satisfied with the performance of the watch.
For everyone who is complainin...",
27,5,"This watch is amazing. Only the battery backup is quite poor. Or else its look really premium in my wrist. but the battery saver mode is far better than normal mode. I really love to wear this watch. 💙💙💙
Thank you flipkart for this amazing product..!!",
28,4,"Hi. This may not be a perfect watch, but for major of the time it does its job perfectly. By the way this is not any semi smart watch. It's a fully functional smart watch with wear Os. There are many watches that claim as smart watches but it's not. I did not find any major issues with this watch apart from small niggles. Being a oppo watch I thought it would come with colour OS but, happy to see they have added Google's own OS and slight touch of colour OS ( because I come from OnePlus backg...",
29,5,"Awesome watch, completely mimic to apple watch, large display gives you rich look. Very attractive. Yes, battery back, compare to other watches is less. It lasts for 36 to 48 hrs in one full charge. And it takes hardly 1 hour to full charge. That is zero to 100 percent, I feel is fair enough. But it's worth to buy because for android phones compatible square watch option is only oppo which gives you classy and rich look. Samsung has round shape watches only. This is my look out towards this w...",
30,5,"Finally an amazing and worthy watch for the android ecosystem! First watch i have ever used in which wearOS runs buttery smooth!
One important thing to know is for the first few hours the watch syncs data with your phone and in doing so it consumes a huge amount of battery and also its suggested that you install the latest software update and after doing both of these things, and the battery is in reality pretty great!
I can clearly say people are judging it very early in the battery depart...",
31,5,"I was waiting for this watch for globally launch since it was launched in china in month of march.

I just booked it without any single thought as soon as this watch available for pre-booking on flipkart. I personally like square wearable over round one. So, this one is perfect for me. Yes..!! You can say it definitely looks like apple watch even box packing was also done a bit similar to apple watch and definitely gives you premium feel while wearing it. Anyways.. I am writing this review af...",
32,5,Awesome watch... pre-ordered it and got good discount too....works really good.. charging is very fast compared to apple watch or galaxy watch...battery backup lasts for more than a day...moderate use... it's worth to buy in this price range....tho 41mm will be small for a normal adult wrist i guess...go for 46mm,
33,5,"Good watch.premium look.superb build quality
Works fine for me in daily use.I charge in the morning when I wake up about 1 hr when I am going duty I will take from charger.
Heavy use you will get 10-11hrs for sure
Moderate it will last 16hrs
Every one buy smart watches for smart use so don't expect battery too much
Use watch like smart watch, charge like smartphone.
I really like the watch because of the wearos it programmed very well and optimised.
I use for running,walking,table tennis g...",
34,4,"So here is my detailed review about the watch
First impressions: its undoubtedly premium buttons feel very good even the vibration motor give a very good feedback.
Pros:
-mic and voice works perfectly fine helpful in many situations

-its damm fluid animations gives a satisfactory feel

-Amoled panal is very crisp and brightness is better then any other android phone.(i use on 2nd level only)

-After update Always on display is here which is there only in apple watch series 5

-All features ...",
35,5,"After month of use!!

Pros:
- feels like mini phone on hand.
- display is top notch quality
- tracking workouts perfectly
- we can store songs in Google music and we can leave phone in home to hear music and workout track
- varied option for watch faces
- best wear Os watch till date.
- looks premium

Cons:

- battery will back up for less than a day in smart mode you need to turn power saver when u r not using. In battery saver it won't track sleep.
- watch will heat if you play songs in w...",
36,5,"I've always wanted a square Android Wearable and now we have it.

In terms of build quality, this watch leaves little to be desired. The metallic industrial design is a testament to Apple Watch (had to be mentioned) quality.

This would probably be the first Android wearable for many and this may require a bit of a learning curve to understand the device.

This is not a phone. So don't treat it like one.

This is a highly functional notification, and lesser functional phone interface extensi...",
37,5,"Battery issue started, worked fine for aound 20 days and now it hardly holds upto 4 hrs with default settings, huge disappointment.and due this problem I'm reducing the ratings

I'm waiting from a long time for a watch with square dial and with Andrid in it so as soon as I see this product I've gone for it, so far I'm Happy with the watch, but the battery life for this model atleast is not as described, it hardly stands off for a day with basic usage. With the given capacity it should have ...",
38,5,"I have purchased the 46mm version and this watch is just awesome. Touch is very responsive and smooth. Curved display gives you luxury look. Battery backup is good and if I compare this watch with others WearOS watches, I will definitely prefer this watch....",
39,5,"It's is very good wear os watch for the price, got it for a good discount (41mm) during the pre-order sale.

Getting the battery for around a day after the initial setup with few tweaks, with power saver mode you can manage up to a week.",
40,4,"Classy product!!
I will say the watch came to me out of the blues. Lookwise it stays on top of Apple watch. But a little bit more battery life was need of the hour. But on a moderate use it can give upto 16 hours of battery. You need to use it as a watch Not a mobile.",
41,5,"So you came to my review section after scrolling a lot. Right? Here is my 100% genuine review after using this watch for 30 days.
I have 41mm variant watch. Talking about the look, then it is damn premium and it feels very light weighted on wrist. Straps are too comfortable, doesn't create any sweat or itching. Talking about its display, it comes with AMOLED display which makes this watch look more elegant. Display is totally visible even in full sunlight. The colour reproduction is also ama...",
42,5,"Awesome quality, look and style. Wear OS does not support Work profile and hence you can only sync your personal profile. So you can't have you work calendar or notifications from work profile synced with the watch.

But this is not OPPo issue but Google wear OS issue.

The watch is otherwise cool and swag. Works very well in broad daylight. Very light on your wrist. Battery is also good. Love it!!",
43,4,"Excellent Watch!!!
This is my second smart watch. I got the watch in discount at Rs. 15.9 K. I was despirate to get this watch and discount was arrived just in time.
After reading earlier user reviewes, I was just worried about battery life (which some users stated about 5-6 hrs). However actual battery life I got more than 12 hrs with normal to heavy usage. After 12 hrs also battery life was remained to around 30% and I used charge it again to retain its battery performance. I achieved batte...",
44,5,"Super display , Good design , Perfect quality strap , premium quality , Touches is very smoth. , Perfect fit , Avarage batttery capacity , super smart watch under 15000rs",
45,5,"I was aware of the battery issue with the oppo watch. Hence I bought the 46mm version just to get a better battery backup. You can make changes to the settings and get a good backup of around 1.5-2 days easily.

By turning off the AOD and tilt to wake up, I got nearly 2 days and with AOD on I got a bit over a day which good for a watch with so many features.

Update it as soon as you get the watch. For regular use you can turn off the WiFi since it's already connected via bluetooth to the pho...",
46,5,"Ordered on May 1st, received it on May 2nd. Very fast delivery from Flipkart.
About the watch
- Display 5/5 ( Best Display ever seen in a watch), have used Apple and Samsung smart watches before, but OPPO really has won among the two tech giants in case of display quality.
- Performance 5/5 ( Best WEAR OS watch Up-to-date)
- Battery 4/5 ( Compared to Apple and Samsung)
- Build Quality 5/5
- Value for money 5/5

Very satisfied with the performance of the watch.
For everyone who is complainin...",
47,4,"This watch is amazing. Only the battery backup is quite poor. Or else its look really premium in my wrist. but the battery saver mode is far better than normal mode. I really love to wear this watch. 💙💙💙
Thank you flipkart for this amazing product..!!",
48,5,"Hi. This may not be a perfect watch, but for major of the time it does its job perfectly. By the way this is not any semi smart watch. It's a fully functional smart watch with wear Os. There are many watches that claim as smart watches but it's not. I did not find any major issues with this watch apart from small niggles. Being a oppo watch I thought it would come with colour OS but, happy to see they have added Google's own OS and slight touch of colour OS ( because I come from OnePlus backg...",
49,5,"Awesome watch, completely mimic to apple watch, large display gives you rich look. Very attractive. Yes, battery back, compare to other watches is less. It lasts for 36 to 48 hrs in one full charge. And it takes hardly 1 hour to full charge. That is zero to 100 percent, I feel is fair enough. But it's worth to buy because for android phones compatible square watch option is only oppo which gives you classy and rich look. Samsung has round shape watches only. This is my look out towards this w...",
50,5,"Finally an amazing and worthy watch for the android ecosystem! First watch i have ever used in which wearOS runs buttery smooth!
One important thing to know is for the first few hours the watch syncs data with your phone and in doing so it consumes a huge amount of battery and also its suggested that you install the latest software update and after doing both of these things, and the battery is in reality pretty great!
I can clearly say people are judging it very early in the battery depart...",
51,5,"I was waiting for this watch for globally launch since it was launched in china in month of march.

I just booked it without any single thought as soon as this watch available for pre-booking on flipkart. I personally like square wearable over round one. So, this one is perfect for me. Yes..!! You can say it definitely looks like apple watch even box packing was also done a bit similar to apple watch and definitely gives you premium feel while wearing it. Anyways.. I am writing this review af...",
52,5,Awesome watch... pre-ordered it and got good discount too....works really good.. charging is very fast compared to apple watch or galaxy watch...battery backup lasts for more than a day...moderate use... it's worth to buy in this price range....tho 41mm will be small for a normal adult wrist i guess...go for 46mm,
53,4,"Good watch.premium look.superb build quality
Works fine for me in daily use.I charge in the morning when I wake up about 1 hr when I am going duty I will take from charger.
Heavy use you will get 10-11hrs for sure
Moderate it will last 16hrs
Every one buy smart watches for smart use so don't expect battery too much
Use watch like smart watch, charge like smartphone.
I really like the watch because of the wearos it programmed very well and optimised.
I use for running,walking,table tennis g...",
54,5,"So here is my detailed review about the watch
First impressions: its undoubtedly premium buttons feel very good even the vibration motor give a very good feedback.
Pros:
-mic and voice works perfectly fine helpful in many situations

-its damm fluid animations gives a satisfactory feel

-Amoled panal is very crisp and brightness is better then any other android phone.(i use on 2nd level only)

-After update Always on display is here which is there only in apple watch series 5

-All features ...",
55,5,"After month of use!!

Pros:
- feels like mini phone on hand.
- display is top notch quality
- tracking workouts perfectly
- we can store songs in Google music and we can leave phone in home to hear music and workout track
- varied option for watch faces
- best wear Os watch till date.
- looks premium

Cons:

- battery will back up for less than a day in smart mode you need to turn power saver when u r not using. In battery saver it won't track sleep.
- watch will heat if you play songs in w...",
56,5,"I've always wanted a square Android Wearable and now we have it.

In terms of build quality, this watch leaves little to be desired. The metallic industrial design is a testament to Apple Watch (had to be mentioned) quality.

This would probably be the first Android wearable for many and this may require a bit of a learning curve to understand the device.

This is not a phone. So don't treat it like one.

This is a highly functional notification, and lesser functional phone interface extensi...",
57,5,"Battery issue started, worked fine for aound 20 days and now it hardly holds upto 4 hrs with default settings, huge disappointment.and due this problem I'm reducing the ratings

I'm waiting from a long time for a watch with square dial and with Andrid in it so as soon as I see this product I've gone for it, so far I'm Happy with the watch, but the battery life for this model atleast is not as described, it hardly stands off for a day with basic usage. With the given capacity it should have ...",
58,5,"I have purchased the 46mm version and this watch is just awesome. Touch is very responsive and smooth. Curved display gives you luxury look. Battery backup is good and if I compare this watch with others WearOS watches, I will definitely prefer this watch....",
59,4,"It's is very good wear os watch for the price, got it for a good discount (41mm) during the pre-order sale.

Getting the battery for around a day after the initial setup with few tweaks, with power saver mode you can manage up to a week.",
60,5,"Classy product!!
I will say the watch came to me out of the blues. Lookwise it stays on top of Apple watch. But a little bit more battery life was need of the hour. But on a moderate use it can give upto 16 hours of battery. You need to use it as a watch Not a mobile.",
61,5,"So you came to my review section after scrolling a lot. Right? Here is my 100% genuine review after using this watch for 30 days.
I have 41mm variant watch. Talking about the look, then it is damn premium and it feels very light weighted on wrist. Straps are too comfortable, doesn't create any sweat or itching. Talking about its display, it comes with AMOLED display which makes this watch look more elegant. Display is totally visible even in full sunlight. The colour reproduction is also ama...",
62,4,"Awesome quality, look and style. Wear OS does not support Work profile and hence you can only sync your personal profile. So you can't have you work calendar or notifications from work profile synced with the watch.

But this is not OPPo issue but Google wear OS issue.

The watch is otherwise cool and swag. Works very well in broad daylight. Very light on your wrist. Battery is also good. Love it!!",
63,5,"Excellent Watch!!!
This is my second smart watch. I got the watch in discount at Rs. 15.9 K. I was despirate to get this watch and discount was arrived just in time.
After reading earlier user reviewes, I was just worried about battery life (which some users stated about 5-6 hrs). However actual battery life I got more than 12 hrs with normal to heavy usage. After 12 hrs also battery life was remained to around 30% and I used charge it again to retain its battery performance. I achieved batte...",
64,5,"Super display , Good design , Perfect quality strap , premium quality , Touches is very smoth. , Perfect fit , Avarage batttery capacity , super smart watch under 15000rs",
65,5,"I was aware of the battery issue with the oppo watch. Hence I bought the 46mm version just to get a better battery backup. You can make changes to the settings and get a good backup of around 1.5-2 days easily.

By turning off the AOD and tilt to wake up, I got nearly 2 days and with AOD on I got a bit over a day which good for a watch with so many features.

Update it as soon as you get the watch. For regular use you can turn off the WiFi since it's already connected via bluetooth to the pho...",
66,4,"Ordered on May 1st, received it on May 2nd. Very fast delivery from Flipkart.
About the watch
- Display 5/5 ( Best Display ever seen in a watch), have used Apple and Samsung smart watches before, but OPPO really has won among the two tech giants in case of display quality.
- Performance 5/5 ( Best WEAR OS watch Up-to-date)
- Battery 4/5 ( Compared to Apple and Samsung)
- Build Quality 5/5
- Value for money 5/5

Very satisfied with the performance of the watch.
For everyone who is complainin...",
67,5,"This watch is amazing. Only the battery backup is quite poor. Or else its look really premium in my wrist. but the battery saver mode is far better than normal mode. I really love to wear this watch. 💙💙💙
Thank you flipkart for this amazing product..!!",
68,5,"Hi. This may not be a perfect watch, but for major of the time it does its job perfectly. By the way this is not any semi smart watch. It's a fully functional smart watch with wear Os. There are many watches that claim as smart watches but it's not. I did not find any major issues with this watch apart from small niggles. Being a oppo watch I thought it would come with colour OS but, happy to see they have added Google's own OS and slight touch of colour OS ( because I come from OnePlus backg...",
69,5,"Awesome watch, completely mimic to apple watch, large display gives you rich look. Very attractive. Yes, battery back, compare to other watches is less. It lasts for 36 to 48 hrs in one full charge. And it takes hardly 1 hour to full charge. That is zero to 100 percent, I feel is fair enough. But it's worth to buy because for android phones compatible square watch option is only oppo which gives you classy and rich look. Samsung has round shape watches only. This is my look out towards this w...",
70,5,"Finally an amazing and worthy watch for the android ecosystem! First watch i have ever used in which wearOS runs buttery smooth!
One important thing to know is for the first few hours the watch syncs data with your phone and in doing so it consumes a huge amount of battery and also its suggested that you install the latest software update and after doing both of these things, and the battery is in reality pretty great!
I can clearly say people are judging it very early in the battery depart...",
71,5,"I was waiting for this watch for globally launch since it was launched in china in month of march.

I just booked it without any single thought as soon as this watch available for pre-booking on flipkart. I personally like square wearable over round one. So, this one is perfect for me. Yes..!! You can say it definitely looks like apple watch even box packing was also done a bit similar to apple watch and definitely gives you premium feel while wearing it. Anyways.. I am writing this review af...",
72,4,Awesome watch... pre-ordered it and got good discount too....works really good.. charging is very fast compared to apple watch or galaxy watch...battery backup lasts for more than a day...moderate use... it's worth to buy in this price range....tho 41mm will be small for a normal adult wrist i guess...go for 46mm,
73,5,"Good watch.premium look.superb build quality
Works fine for me in daily use.I charge in the morning when I wake up about 1 hr when I am going duty I will take from charger.
Heavy use you will get 10-11hrs for sure
Moderate it will last 16hrs
Every one buy smart watches for smart use so don't expect battery too much
Use watch like smart watch, charge like smartphone.
I really like the watch because of the wearos it programmed very well and optimised.
I use for running,walking,table tennis g...",
74,5,"So here is my detailed review about the watch
First impressions: its undoubtedly premium buttons feel very good even the vibration motor give a very good feedback.
Pros:
-mic and voice works perfectly fine helpful in many situations

-its damm fluid animations gives a satisfactory feel

-Amoled panal is very crisp and brightness is better then any other android phone.(i use on 2nd level only)

-After update Always on display is here which is there only in apple watch series 5

-All features ...",
75,5,"After month of use!!

Pros:
- feels like mini phone on hand.
- display is top notch quality
- tracking workouts perfectly
- we can store songs in Google music and we can leave phone in home to hear music and workout track
- varied option for watch faces
- best wear Os watch till date.
- looks premium

Cons:

- battery will back up for less than a day in smart mode you need to turn power saver when u r not using. In battery saver it won't track sleep.
- watch will heat if you play songs in w...",
76,5,"I've always wanted a square Android Wearable and now we have it.

In terms of build quality, this watch leaves little to be desired. The metallic industrial design is a testament to Apple Watch (had to be mentioned) quality.

This would probably be the first Android wearable for many and this may require a bit of a learning curve to understand the device.

This is not a phone. So don't treat it like one.

This is a highly functional notification, and lesser functional phone interface extensi...",
77,5,"Battery issue started, worked fine for aound 20 days and now it hardly holds upto 4 hrs with default settings, huge disappointment.and due this problem I'm reducing the ratings

I'm waiting from a long time for a watch with square dial and with Andrid in it so as soon as I see this product I've gone for it, so far I'm Happy with the watch, but the battery life for this model atleast is not as described, it hardly stands off for a day with basic usage. With the given capacity it should have ...",
78,4,"I have purchased the 46mm version and this watch is just awesome. Touch is very responsive and smooth. Curved display gives you luxury look. Battery backup is good and if I compare this watch with others WearOS watches, I will definitely prefer this watch....",
79,5,"It's is very good wear os watch for the price, got it for a good discount (41mm) during the pre-order sale.

Getting the battery for around a day after the initial setup with few tweaks, with power saver mode you can manage up to a week.",
80,5,"Classy product!!
I will say the watch came to me out of the blues. Lookwise it stays on top of Apple watch. But a little bit more battery life was need of the hour. But on a moderate use it can give upto 16 hours of battery. You need to use it as a watch Not a mobile.",
81,4,"So you came to my review section after scrolling a lot. Right? Here is my 100% genuine review after using this watch for 30 days.
I have 41mm variant watch. Talking about the look, then it is damn premium and it feels very light weighted on wrist. Straps are too comfortable, doesn't create any sweat or itching. Talking about its display, it comes with AMOLED display which makes this watch look more elegant. Display is totally visible even in full sunlight. The colour reproduction is also ama...",
82,5,"Awesome quality, look and style. Wear OS does not support Work profile and hence you can only sync your personal profile. So you can't have you work calendar or notifications from work profile synced with the watch.

But this is not OPPo issue but Google wear OS issue.

The watch is otherwise cool and swag. Works very well in broad daylight. Very light on your wrist. Battery is also good. Love it!!",
83,5,"Excellent Watch!!!
This is my second smart watch. I got the watch in discount at Rs. 15.9 K. I was despirate to get this watch and discount was arrived just in time.
After reading earlier user reviewes, I was just worried about battery life (which some users stated about 5-6 hrs). However actual battery life I got more than 12 hrs with normal to heavy usage. After 12 hrs also battery life was remained to around 30% and I used charge it again to retain its battery performance. I achieved batte...",
84,5,"Super display , Good design , Perfect quality strap , premium quality , Touches is very smoth. , Perfect fit , Avarage batttery capacity , super smart watch under 15000rs",
85,4,"I was aware of the battery issue with the oppo watch. Hence I bought the 46mm version just to get a better battery backup. You can make changes to the settings and get a good backup of around 1.5-2 days easily.

By turning off the AOD and tilt to wake up, I got nearly 2 days and with AOD on I got a bit over a day which good for a watch with so many features.

Update it as soon as you get the watch. For regular use you can turn off the WiFi since it's already connected via bluetooth to the pho...",
86,5,"Ordered on May 1st, received it on May 2nd. Very fast delivery from Flipkart.
About the watch
- Display 5/5 ( Best Display ever seen in a watch), have used Apple and Samsung smart watches before, but OPPO really has won among the two tech giants in case of display quality.
- Performance 5/5 ( Best WEAR OS watch Up-to-date)
- Battery 4/5 ( Compared to Apple and Samsung)
- Build Quality 5/5
- Value for money 5/5

Very satisfied with the performance of the watch.
For everyone who is complainin...",
87,5,"This watch is amazing. Only the battery backup is quite poor. Or else its look really premium in my wrist. but the battery saver mode is far better than normal mode. I really love to wear this watch. 💙💙💙
Thank you flipkart for this amazing product..!!",
88,5,"Hi. This may not be a perfect watch, but for major of the time it does its job perfectly. By the way this is not any semi smart watch. It's a fully functional smart watch with wear Os. There are many watches that claim as smart watches but it's not. I did not find any major issues with this watch apart from small niggles. Being a oppo watch I thought it would come with colour OS but, happy to see they have added Google's own OS and slight touch of colour OS ( because I come from OnePlus backg...",
89,5,"Awesome watch, completely mimic to apple watch, large display gives you rich look. Very attractive. Yes, battery back, compare to other watches is less. It lasts for 36 to 48 hrs in one full charge. And it takes hardly 1 hour to full charge. That is zero to 100 percent, I feel is fair enough. But it's worth to buy because for android phones compatible square watch option is only oppo which gives you classy and rich look. Samsung has round shape watches only. This is my look out towards this w...",
90,5,"Finally an amazing and worthy watch for the android ecosystem! First watch i have ever used in which wearOS runs buttery smooth!
One important thing to know is for the first few hours the watch syncs data with your phone and in doing so it consumes a huge amount of battery and also its suggested that you install the latest software update and after doing both of these things, and the battery is in reality pretty great!
I can clearly say people are judging it very early in the battery depart...",
91,4,"I was waiting for this watch for globally launch since it was launched in china in month of march.

I just booked it without any single thought as soon as this watch available for pre-booking on flipkart. I personally like square wearable over round one. So, this one is perfect for me. Yes..!! You can say it definitely looks like apple watch even box packing was also done a bit similar to apple watch and definitely gives you premium feel while wearing it. Anyways.. I am writing this review af...",
92,5,Awesome watch... pre-ordered it and got good discount too....works really good.. charging is very fast compared to apple watch or galaxy watch...battery backup lasts for more than a day...moderate use... it's worth to buy in this price range....tho 41mm will be small for a normal adult wrist i guess...go for 46mm,
93,5,"Good watch.premium look.superb build quality
Works fine for me in daily use.I charge in the morning when I wake up about 1 hr when I am going duty I will take from charger.
Heavy use you will get 10-11hrs for sure
Moderate it will last 16hrs
Every one buy smart watches for smart use so don't expect battery too much
Use watch like smart watch, charge like smartphone.
I really like the watch because of the wearos it programmed very well and optimised.
I use for running,walking,table tennis g...",
94,5,"So here is my detailed review about the watch
First impressions: its undoubtedly premium buttons feel very good even the vibration motor give a very good feedback.
Pros:
-mic and voice works perfectly fine helpful in many situations

-its damm fluid animations gives a satisfactory feel

-Amoled panal is very crisp and brightness is better then any other android phone.(i use on 2nd level only)

-After update Always on display is here which is there only in apple watch series 5

-All features ...",
95,5,"After month of use!!

Pros:
- feels like mini phone on hand.
- display is top notch quality
- tracking workouts perfectly
- we can store songs in Google music and we can leave phone in home to hear music and workout track
- varied option for watch faces
- best wear Os watch till date.
- looks premium

Cons:

- battery will back up for less than a day in smart mode you need to turn power saver when u r not using. In battery saver it won't track sleep.
- watch will heat if you play songs in w...",
96,5,"I've always wanted a square Android Wearable and now we have it.

In terms of build quality, this watch leaves little to be desired. The metallic industrial design is a testament to Apple Watch (had to be mentioned) quality.

This would probably be the first Android wearable for many and this may require a bit of a learning curve to understand the device.

This is not a phone. So don't treat it like one.

This is a highly functional notification, and lesser functional phone interface extensi...",
97,4,"Battery issue started, worked fine for aound 20 days and now it hardly holds upto 4 hrs with default settings, huge disappointment.and due this problem I'm reducing the ratings

I'm waiting from a long time for a watch with square dial and with Andrid in it so as soon as I see this product I've gone for it, so far I'm Happy with the watch, but the battery life for this model atleast is not as described, it hardly stands off for a day with basic usage. With the given capacity it should have ...",
98,5,"I have purchased the 46mm version and this watch is just awesome. Touch is very responsive and smooth. Curved display gives you luxury look. Battery backup is good and if I compare this watch with others WearOS watches, I will definitely prefer this watch....",
99,5,"It's is very good wear os watch for the price, got it for a good discount (41mm) during the pre-order sale.

Getting the battery for around a day after the initial setup with few tweaks, with power saver mode you can manage up to a week.",
100,4,"Classy product!!
I will say the watch came to me out of the blues. Lookwise it stays on top of Apple watch. But a little bit more battery life was need of the hour. But on a moderate use it can give upto 16 hours of battery. You need to use it as a watch Not a mobile.",
101,5,"So you came to my review section after scrolling a lot. Right? Here is my 100% genuine review after using this watch for 30 days.
I have 41mm variant watch. Talking about the look, then it is damn premium and it feels very light weighted on wrist. Straps are too comfortable, doesn't create any sweat or itching. Talking about its display, it comes with AMOLED display which makes this watch look more elegant. Display is totally visible even in full sunlight. The colour reproduction is also ama...",
102,5,"Awesome quality, look and style. Wear OS does not support Work profile and hence you can only sync your personal profile. So you can't have you work calendar or notifications from work profile synced with the watch.

But this is not OPPo issue but Google wear OS issue.

The watch is otherwise cool and swag. Works very well in broad daylight. Very light on your wrist. Battery is also good. Love it!!",
103,5,"Excellent Watch!!!
This is my second smart watch. I got the watch in discount at Rs. 15.9 K. I was despirate to get this watch and discount was arrived just in time.
After reading earlier user reviewes, I was just worried about battery life (which some users stated about 5-6 hrs). However actual battery life I got more than 12 hrs with normal to heavy usage. After 12 hrs also battery life was remained to around 30% and I used charge it again to retain its battery performance. I achieved batte...",
104,4,"Super display , Good design , Perfect quality strap , premium quality , Touches is very smoth. , Perfect fit , Avarage batttery capacity , super smart watch under 15000rs",
105,5,"I was aware of the battery issue with the oppo watch. Hence I bought the 46mm version just to get a better battery backup. You can make changes to the settings and get a good backup of around 1.5-2 days easily.

By turning off the AOD and tilt to wake up, I got nearly 2 days and with AOD on I got a bit over a day which good for a watch with so many features.

Update it as soon as you get the watch. For regular use you can turn off the WiFi since it's already connected via bluetooth to the pho...",
106,5,"Ordered on May 1st, received it on May 2nd. Very fast delivery from Flipkart.
About the watch
- Display 5/5 ( Best Display ever seen in a watch), have used Apple and Samsung smart watches before, but OPPO really has won among the two tech giants in case of display quality.
- Performance 5/5 ( Best WEAR OS watch Up-to-date)
- Battery 4/5 ( Compared to Apple and Samsung)
- Build Quality 5/5
- Value for money 5/5

Very satisfied with the performance of the watch.
For everyone who is complainin...",
107,5,"This watch is amazing. Only the battery backup is quite poor. Or else its look really premium in my wrist. but the battery saver mode is far better than normal mode. I really love to wear this watch. 💙💙💙
Thank you flipkart for this amazing product..!!",
108,5,"Hi. This may not be a perfect watch, but for major of the time it does its job perfectly. By the way this is not any semi smart watch. It's a fully functional smart watch with wear Os. There are many watches that claim as smart watches but it's not. I did not find any major issues with this watch apart from small niggles. Being a oppo watch I thought it would come with colour OS but, happy to see they have added Google's own OS and slight touch of colour OS ( because I come from OnePlus backg...",
109,5,"Awesome watch, completely mimic to apple watch, large display gives you rich look. Very attractive. Yes, battery back, compare to other watches is less. It lasts for 36 to 48 hrs in one full charge. And it takes hardly 1 hour to full charge. That is zero to 100 percent, I feel is fair enough. But it's worth to buy because for android phones compatible square watch option is only oppo which gives you classy and rich look. Samsung has round shape watches only. This is my look out towards this w...",
110,4,"Finally an amazing and worthy watch for the android ecosystem! First watch i have ever used in which wearOS runs buttery smooth!
One important thing to know is for the first few hours the watch syncs data with your phone and in doing so it consumes a huge amount of battery and also its suggested that you install the latest software update and after doing both of these things, and the battery is in reality pretty great!
I can clearly say people are judging it very early in the battery depart...",
111,5,"I was waiting for this watch for globally launch since it was launched in china in month of march.

I just booked it without any single thought as soon as this watch available for pre-booking on flipkart. I personally like square wearable over round one. So, this one is perfect for me. Yes..!! You can say it definitely looks like apple watch even box packing was also done a bit similar to apple watch and definitely gives you premium feel while wearing it. Anyways.. I am writing this review af...",
112,5,Awesome watch... pre-ordered it and got good discount too....works really good.. charging is very fast compared to apple watch or galaxy watch...battery backup lasts for more than a day...moderate use... it's worth to buy in this price range....tho 41mm will be small for a normal adult wrist i guess...go for 46mm,
113,5,"Good watch.premium look.superb build quality
Works fine for me in daily use.I charge in the morning when I wake up about 1 hr when I am going duty I will take from charger.
Heavy use you will get 10-11hrs for sure
Moderate it will last 16hrs
Every one buy smart watches for smart use so don't expect battery too much
Use watch like smart watch, charge like smartphone.
I really like the watch because of the wearos it programmed very well and optimised.
I use for running,walking,table tennis g...",
114,5,"So here is my detailed review about the watch
First impressions: its undoubtedly premium buttons feel very good even the vibration motor give a very good feedback.
Pros:
-mic and voice works perfectly fine helpful in many situations

-its damm fluid animations gives a satisfactory feel

-Amoled panal is very crisp and brightness is better then any other android phone.(i use on 2nd level only)

-After update Always on display is here which is there only in apple watch series 5

-All features ...",
115,5,"After month of use!!

Pros:
- feels like mini phone on hand.
- display is top notch quality
- tracking workouts perfectly
- we can store songs in Google music and we can leave phone in home to hear music and workout track
- varied option for watch faces
- best wear Os watch till date.
- looks premium

Cons:

- battery will back up for less than a day in smart mode you need to turn power saver when u r not using. In battery saver it won't track sleep.
- watch will heat if you play songs in w...",
116,4,"I've always wanted a square Android Wearable and now we have it.

In terms of build quality, this watch leaves little to be desired. The metallic industrial design is a testament to Apple Watch (had to be mentioned) quality.

This would probably be the first Android wearable for many and this may require a bit of a learning curve to understand the device.

This is not a phone. So don't treat it like one.

This is a highly functional notification, and lesser functional phone interface extensi...",
117,5,"Battery issue started, worked fine for aound 20 days and now it hardly holds upto 4 hrs with default settings, huge disappointment.and due this problem I'm reducing the ratings

I'm waiting from a long time for a watch with square dial and with Andrid in it so as soon as I see this product I've gone for it, so far I'm Happy with the watch, but the battery life for this model atleast is not as described, it hardly stands off for a day with basic usage. With the given capacity it should have ...",
118,5,"I have purchased the 46mm version and this watch is just awesome. Touch is very responsive and smooth. Curved display gives you luxury look. Battery backup is good and if I compare this watch with others WearOS watches, I will definitely prefer this watch....",
119,4,"It's is very good wear os watch for the price, got it for a good discount (41mm) during the pre-order sale.

Getting the battery for around a day after the initial setup with few tweaks, with power saver mode you can manage up to a week.",
120,5,"Classy product!!
I will say the watch came to me out of the blues. Lookwise it stays on top of Apple watch. But a little bit more battery life was need of the hour. But on a moderate use it can give upto 16 hours of battery. You need to use it as a watch Not a mobile.",
121,5,"So you came to my review section after scrolling a lot. Right? Here is my 100% genuine review after using this watch for 30 days.
I have 41mm variant watch. Talking about the look, then it is damn premium and it feels very light weighted on wrist. Straps are too comfortable, doesn't create any sweat or itching. Talking about its display, it comes with AMOLED display which makes this watch look more elegant. Display is totally visible even in full sunlight. The colour reproduction is also ama...",
